id,text,sentiment,
27655,jeena mor sale khatini,Abusive,
20585,luto luto raja bachauuu timro desh lie,Non Abusive,
16158,yo natak gardai xa,Non Abusive,
16810,lobhi deepak and dipa,Abusive,
10690,kata ka chor rai parechn udai deu sanjeev dai xito 😡,Abusive,
22712,haita kasto hau yo aimai hru i saw many's lahureko budi yesari bigreko,Abusive,
18126,laj navaya ka kukur haru no king again,Abusive,
13216,beauty with dull brain vanne proved vayo 😁😀😁,Abusive,
16263,sab mc chor rw vrasta chari xan ..,Abusive,
31762,police lai pni sangai duitailai tudikhel ma jhindaunu parx,Abusive,
16948,katnu prx ysta xora lae 😠,Abusive,
14484,nepal pulice is fuukk,Abusive,
21023,yasto ramro dancing nai out vayapaxi aab herdina ma dancing aamar bika bahek 😢,Non Abusive,
16852,yesta kukur more ni hunchha yesta kukurharule dherai chelibetiko ghar bigareka chhan .😭,Abusive,
23041,a takle hindu badi.isaiko kura nagar.come to the point..khate,Abusive,
27194,yeahoo dsarita lai godhhhh sabae lay,Abusive,
18309,nwes 24 onflow aaba bta sabai le garnu hola,Non Abusive,
20957,oe mc gagan katwal mujhi ma tero fine hu bt tw mujhi mcc ko barema bolnu pardaena chikne.khali gaf mtra garne,Abusive,
20509,yo mg valu jathi,Abusive,
21336,thula badako ma garnu ni raid.,Non Abusive,
17753,yo sow ma ac xain ki k.hoo shekhar ta pasinale nai nuhayeko xata,Non Abusive,
22708,ganaga karmacharya is great nepali lady salute for her.rip pradhanang corona should have to take her as soon as possible.,Abusive,
23528,yo sab karmacharya ko educational background ho... hajurko tetibela ko question baseless thyo... we have educated netas... more than in india i guess..,Non Abusive,
24200,dherai comments herey sabaile vanx milera base ramro rey dhoti sanga 1 month moj gareko lai kasaile acpt garx mulaa muli haru arko video ni her jathiharu yesko attitude,Abusive,
19615,yeo standard matrtra ramro vyoo na ta janta ko hajarau question aayo na ta answer naii aayooo waste of 1 hr,Abusive,
17440,gire chor rip dhoti kuti rip india dhoti kuti rip dhoti kuti rip gire muge chor rip,Abusive,
16389,balaram dahal dahal parchand ko jhole rahi xan kura bata that lagxa hjr,Abusive,
14146,yo kam ko lagi denish g lai salute.but yo sala hukumbasi harulai lakhetera dada kataune ..,Abusive,
12742,he bhagman family ko sabai actor nai raxan 😡,Non Abusive,
17365,anmol singh ko acting hereta eye attack aako thiyo aba raj singh ko baani behwaar dekhera leg attack aaula jssto xa,Non Abusive,
27817,esto youtube channel lai boycot garau sabley help garnu bhanda afno channel chalauna ma dhyan paisa karauna ma dhyan.... esto idiotic behaviour ta dekhaunu bhaena ni,Abusive,
31707,marne laii fasi dey sarkar,Abusive,
26995,yo aaimai runxe pap le ek din,Abusive,
15752,thuka xixi kuti nai gathilo,Abusive,
15879,blue shirts laguna chai haaawaaaaa salaaaaa,Abusive,
24009,"wow rahisha what hardwork , soni you must be humble, never be over smart , ratnaparkma mike bokera sex garyo ki nai vergin ho ki nai vaneko jasto hoina national television ma performance gardai ho so be professional",Abusive,
27784,neta haru sab corrupt xan nepal ma...,Abusive,
15759,dat balatkar huda kina gaana police casema,Abusive,
24461,k ta lai pata pharkaunu parla kapil sir,Non Abusive,
12081,yo police haru laii thulo paap lagni xa,Abusive,
11799,yo patrakaar poni ksto laato raixa yrr,Abusive,
14387,thukka tero jindagi mlai mnn naparne rapper xiiii,Abusive,
10023,futera k huncha kamal sapkota jasto huncha halat 😅 point to b noted 😅,Non Abusive,
31114,"mgr jatiko, btname greko saram xoina,!",Abusive,
21589,prakash ko biswas garnu nai congress ko bhul ho,Non Abusive,
17226,facebook bata tyasari blackmail bhako manchhe ko ajhai 3 wata facebook id 🙄....24 ghanta onln tiktok 🙄,Non Abusive,
14879,yo hosting pani bastola koo support maa boldai xaa jasto xaa hoo,Non Abusive,
10385,dipendra is jhole of maobadi party,Abusive,
21278,yo randiko xoro dhoti mothersfuckers,Abusive,
26311,yo tori putrkar 😆🤣,Abusive,
22227,mc buda ghanta ko tero woda mg budo 😠,Abusive,
18890,dahi chiure media boom tesarera matra hunxa kehi bolna naaaune,Abusive,
11400,kahile samma yasto natak hau,Abusive,
10727,you will get soon nobel prize for most expensive bike of the world. na chahido kura na gar. yo vand ni mahngo bike ma sit xa. 2020 maa review garne xu tab samm ko lagi have nice day,Non Abusive,
14163,guf ko each n every words ma fake dakx,Non Abusive,
27625,yo kt haru dheree mattinx sukha payo vne,Abusive,
22793,tyo 1.6k dislike garney chai tyo sala chora haruko santaan ho kya ho 😤,Abusive,
17232,kshitiz ji go ahead aba palo youth ko ho yo sanceless manxe le country lead garni haina .god bless you,Abusive,
26456,yesto mula so nplko thiukka vanba mn lgyo amr bika tam out???,Abusive,
20102,aaile samma capable koi chaina iniharu…….boleko sunda dherai talent and bidwan jasto lagney but sense of analysis and visionary koi chaina hai……….,Non Abusive,
18101,k ko ghanta ko comparison. most of all nepali le rajesh hamal lai super star manxan industry vitraka,Abusive,
12315,thu yesto mancha ko ke kukur ho,Abusive,
18155,live nadine raxa k faida vo ra subscribe garer,Non Abusive,
23801,khate bhatta bhusya kukur balla thikka paryo 😅 gyanedra sahile mtr thik paryo k 😅😂,Abusive,
19764,mantri haru ko body guard = 4000 jana army,Non Abusive,
21188,no mcc murdabad kharej garnu parchha go back america,Abusive,
24137,k ho yesto kahile ko khel ko video haleko halne baye live garnu paro aaru desh ko chai live aafno desh chai good bye 😡,Abusive,
11838,over confident kto chai xixixix,Abusive,
13527,suruma dislike hanneko hatma kira paros pakkai vrasta apradhi hun,Abusive,
10617,khul ko ekaraj muji,Abusive,
11088,billa vayexani ta haw interview linenemanxewkk tah hahahaha 😂🤣😂😁🤣😂🤣,Non Abusive,
10759,laj lagena feri tv ma aauda,Abusive,
11913,not only reengineeer... he need gukhane team 🥱,Abusive,
15897,prem geet move hindi ma chalnu parxa kita bidesi sambandhi kai pani use na garne,Non Abusive,
18691,nepal ko kanun ani danthe haru 👊😡🖕 sakxas thulo thulo balatkari bhastachari lai samatna 🖕,Abusive,
26057,thukka mugi aila falni.... mc khata haru... i want to give a damn to police n media..... media karmi haru..... police ko saath ma hoina 2 number garni lai direct gara na.... saab police hos ya media ya janta sajha parasi yehi chainxa saap lai... paila aafai pabitra hunu ani garib manxa haru lai na darauni 🖕,Abusive,
13778,cristian le aba des sakine vayo,Abusive,
20644,kun kukur ho tyo dislike garne. best of luck specially xori lai aaudo din yo vanda ramro hosh hoi 👌😍,Abusive,
19307,rip daura suruwal wala,Abusive,
15514,g bob p hunu paryo esko naam best of the best psycho,Abusive,
12185,drugs lini jsto xa yo mnxe,Abusive,
17225,"yesto khate show aaja bata herdinu kunay pani reality show,talant ko kunay kadar chhina ani lhate fhor haru",Abusive,
24670,"jaabo blind audition ma selecte huda pani kina yetro chatak ho, yo patrukar haru sanga aru content hunna ra vanya 😂 we all know this guy sang so great but ekkassi nachaine hype nadeu",Abusive,
20263,shame on nepali bikas bord.,Abusive,
27246,"sumit subedi boka mula rajniti dherai vho, rajinama dey vatuwa, good luck prem geet 3 team.",Abusive,
10683,bijog mathi haribijog heid,Abusive,
10924,"i don’t know who is she bt listen jo pani dai vai sathi ma jo pani janna sakxa kehi saman chaheko ko ma so, kah tour ma jada kehi huda kasile aausadhi xa bhanera sodhyo bhane k rape bhandine",Non Abusive,
13188,pardaina tax tirnu ...kasailai.....nepal ma tax aauxa ani tai nepal ka corruption minister haru la poisa laghara international bank ma rakhna ......,Abusive,
31250,yo dislike hanna manxe haru pakkai political party ko afno najik ko manxe huna parxa 😡,Non Abusive,
24684,host changed garnu paryo kanti put tv,Abusive,
14841,wheareas bhuvan rokka is nalayak,Abusive,
10199,ahelay yo lockdown ma ambulance taxi baneyko xa. ghra samma k lift magyako 15 minute ko bato sala 1000 rupees lyaurey randi ka xora haru,Abusive,
18999,aafai dhami aafai boksi !!! psychology student 🧠,Abusive,
26582,😭 teyo pasu lai karbai hos ayush sir,Abusive,
24020,18 yr underage vonei wrong cho .aja ko gujma,Non Abusive,
22484,5 times prime minister bhaye pani singapore banaune sakena jhingapur banaye cha. beda janta jindabad,Abusive,
18841,"hawa janta, pattur airplane, desh and ra neta",Abusive,
17757,yasko matlab ma manche timi haru sabai bhaisi just some farm animals in a big farm of gods.,Abusive,
25374,mantri jiu ko balatkar ko follow up k bho sir tyass lai 😡 marnu parxa,Abusive,
22021,suddhiii nepal ma aayerw nepal ko teti thulo thau ma baserw bharat ko tarif bharat ko support 😠,Non Abusive,
18573,bull shit omg this is modern world 🌎 tapai ko future ko barey ma vannu hos na world lai voli tapai ko programme ko k cha?,Abusive,
23624,junu le careless gariraako x tesaile vote out huna jaruri x,Non Abusive,
18032,rekha you cant do any good for our country but rajandra linden gandra shai rajesh is best for our country please rekha is not good our country,Non Abusive,
24396,ta mg vhaluni hoss,Abusive,
16225,jiban sathi ma good jodi xaina ki vetena ho malbika thiis fake man fake girla,Non Abusive,
19391,neupane vaneko atankabadi ho black money lai white banauna budi heroin banako,Abusive,
13222,yo sarmila ko poi sale,Abusive,
13787,radi ko xora police haru mc,Abusive,
15385,"aaile samakai bharsta,niragkush,nikaama,blahh blahh saarkaar",Abusive,
19249,we r with u puja chaudhary g.back off indian sony gurung r. i. p,Abusive,
26482,fake kt lay chaldai cha. paudina najanni lay jailay haat mathi garchan. yo kt lai tanda ni aateko chaina,Abusive,
16291,lok pgl khali mahila matra pidama hunx ta.,Abusive,
25615,ganesh katwal bhanda tw sujit dhamla ko dimag khuske jasto xw,Abusive,
15459,nepal barbat bhako yestsri hoixs,Abusive,
20591,when he got marride...what a jok,Non Abusive,
23378,yesto hero lai xodera jane women pashu ho.,Abusive,
24289,yasta lai sukumbwabase vanna ho vana hami jasto lai chai k vanni hou sir????,Abusive,
31109,pagal khate kukur chor,Abusive,
23701,nepal ko kta hos kt hos football match herdina 😈,Non Abusive,
23027,"nepal kai naam challne ho,nepal lai nai faida hune ho selfish jealous vako ho tyo nula panday budaa",Abusive,
10514,daliya system vanako dalal ko jhunda ho. k ho daliya nothing. let's kick out old age & face.,Abusive,
10383,kasko khalko patrakar location pani pura nadine,Non Abusive,
17689,dhaka pokhereli hoina… yo ki jhapali ho ki shyanjali ho… lastai ba’atho … stunt baaz ho ki hoina banne prashna ma yo 1000% stunt ho… listen to the every answer… fucking fake…,Abusive,
21628,ahile ni jhyaap.jasto x,Abusive,
18408,jall ma halne 😠,Non Abusive,
19435,😂 jattibela pani suraj le t saugat mathi naee dos 😂,Non Abusive,
13431,vak yo anita ra reneshalai kehi aaudaena khub dance jane jhai garxan. love you umesh sir,Non Abusive,
18014,haha its very simple duniyama xa yasto oktok ta jabo,Non Abusive,
21821,yo khate aangkaji pagal ta pagal tara purai pagal ho yaar...little knowledge is always dangerous...,Abusive,
19163,very funny setopati lagayat le sabbai news hatayecha suraj ko kura. highlight ma naaauna dina.😂. fata the great haru raichan media,Abusive,
15023,yeo mulla manish hamala kasari journalists vayeo ho 😄,Abusive,
31235,madarchut police nai chor xan,Abusive,
31283,as a i'm indian nepali____malai bhuvan pradhanang lai taikkai man parena 😡,Abusive,
10313,"yini badinai hosiyar thiye maobadilai use garera brastachar garne, anapad pm bhayepani naam kamaune dauma.",Abusive,
23289,tyo arkaako ghar bigaarne maachikne ko pani photo dekhaonu paryo dipendra bro.,Abusive,
11749,sachi nai janma dine aama lai bato maa falne chhora le k sikchhya dinu student lai ra tyo sir dekhi k sikno student le (very bad man)yr,Abusive,
19625,fuck you dog of sanjeev sapkota surya pangeni shame on this government not hiring kulman ghising,Abusive,
14846,visit nepal2020 lai bhanga garyo corona let,Non Abusive,
11023,bro tyo crash investigation na garikana kasari crash vayo news reporter bhayara guess nagarnu hola.,Non Abusive,
10429,bhuvan pradhanang lai heart attack aauna maddat puryau hai,Abusive,
25614,season3 but finger chai kina 2wtf 😂,Abusive,
27005,mc joker jatho nipesh badar,Abusive,
19910,background tone aajhai vako xn,Non Abusive,
13782,k khalko patra kar ho aafu chahi mic ma bolx interview dine ko aawaj nai xena 🤣,Non Abusive,
11393,they will divorce after years 😂 aailei aagayeko jasto cha keta chai 😂,Abusive,
17084,yo cikne journalists haru ko questions nai vhayana,Abusive,
19979,sala dalal xiri tero bau verified khate anuhar na danuharki dadeko murda polne muda jasti same same xe khatini,Abusive,
17917,yo pgl ho sala yo lai marnu parx,Abusive,
20576,😂 dharan aaunus 1 ghanta dhunga bokauxu..lawar face is like lol..,Abusive,
18112,k nai thulo kaam garya jsto fuck u police,Abusive,
31279,one the sport ma kill garni rouls hunu parxa balla manxi marna kam hunxa,Abusive,
21852,sab purano airplane haru banned huna parcha! manche ko jindagi sanga khelwad nagarau ! rip 🙏,Abusive,
18417,aangkaji sherpa vaneko ekdum third class manxe raixa ....yo manxe dekherai ghin layera aayo malai,Abusive,
25788,speak about melamchi faster and beautiful kathmandu like singapore urop japan and china don't speak bagam fusi dirty poltice and tumach?,Abusive,
31001,natak garxa aasu vanne khe xaina bude gumauda aasu aaudaena natak kari 😡 justice for sabita 😭❤,Abusive,
16070,sishir lai chorne ovagi mg ko anwar hernu mn ni lgdyno...,Abusive,
17516,bohara bihos xare aile sandesh daiko jawaf sunera,Non Abusive,
21583,yesto attitude ley jati dherai ekkaichoti hype ma aako thiyeu teti nai xito tala jharxau bro !!! don’t let this ego & overconfidence hit u hard bro ✌️✌️✌️,Non Abusive,
20190,k ho mc partrakar,Abusive,
17807,mr bikram moj chai tmile ra tmro santan le garne ani dosh sadhai raja lai why???,Abusive,
31990,jasle show ko respect gardaina uhi save bhako dekhda judge ko no valuable xaina raixa bhanne prove hunxa,Non Abusive,
16552,yastai ek due janaley garda nepal fhoor vako...thank u bro for help that sis...,Abusive,
12964,ksto manche sanga kura rakhna aako film kalakar haru pani …. 5 class jatti ko buddi nabhako conservative manche sanga kura garera huncha…. toit 😢,Abusive,
18526,yesata kt le garda nepal begreak ho,Abusive,
10374,hindu aviyan rss ko khetala ho,Abusive,
25051,yeuta. baineko. sor. melen.,Non Abusive,
23048,fatah...gadadi . ukhan tukka ko bharma rajniti. no vision no mision.,Abusive,
10321,yesto dance le kaha bata hunxa show hit,Non Abusive,
26730,change the name of the programme to temporary jeevan saathi !😩😂🤣😅,Non Abusive,
10974,tww muji la k garrix khateee,Abusive,
16847,yasto cha so sad ..,Non Abusive,
25958,thukka muji khatay haru... desh ma din ko din balatkar vairaxa... testo case haru lai chai main focus garna... pending vako case lai kna kotauxas... purano case mai busy vayea paxi naya case taw tytkai pending hunay vayo taw,Abusive,
20856,maro. laro. gasto. niwse. mugi. guf. nahany. huncxa,Abusive,
19926,kun chai pagal ho thyo testo manxe ko ni interview line...,Abusive,
20673,kina hola i don't like sapkota 😎 why,Non Abusive,
12367,angkaji paagal ho... hindu ra buddhist ko kaile clash chaina.... yesle clash garaune kaam gardai chha....,Abusive,
13574,fuck you nepal police 🖕,Abusive,
12286,rupak le muji ship lauxu vaney thiyo tw muji khai tw aako ....ke afno afno ghr ko bathtub ma rakhe xa rw .....,Abusive,
25716,interviewer 👀 😄😅 harami,Abusive,
24575,papi lai fadi de,Abusive,
17406,yo khatey channel report handim tw sabley 😡. boulais ki k ho live dinxan ki pxe recorded video halxan patur 😡,Abusive,
19233,sab le yautai kura vanne vaner sallaha garera media ma aako xan,Non Abusive,
12824,neupane sir please aru lai ta pahila bolna dinu na,Non Abusive,
11534,kasto bolnai nadine torpe maanche,Abusive,
14526,reporter le ride sharing ko concept bujheko chaina ki k ho. pathao ko app chalauda rider ko behbar ko thekka pathao le leko cha? surakchya ko thekka pathao ko ho? protection ko kura police lai sodhe ki company ko manche lai. k sodheko reporter le.,Non Abusive,
25734,jabo 103 matra khate ... ta khate hoss dess ko lagi jhole media hoss ta na ma kunai party ko manxe or laxman ko party ko but you fucking do n dis recpect nepali n who try to good for nepali .. ta hainas nepali ta dhotiko chora hoss msg her sale 😡,Abusive,
31778,k p lawar thag ho,Abusive,
12817,dhamalla ko hamala fucking bulshitt,Abusive,
13184,yo kt think chainaaa herdaijaaa,Abusive,
18777,negative comments n gar sarkar haru hamrai nepali actors ho k .sab ko knk nramro bani hunx,Abusive,
17361,sher bhaduqg rana..is a dog..paltu kutta from india,Abusive,
22029,aarka ko budi bigarne sala,Abusive,
10846,yesto lai bahiskar garau afno janmadine bau ama lai respect garna naskne lai kun hisab le support garme yesta ni singer,Non Abusive,
18885,hahaha aryal seto tower vaneko jil paryo,Non Abusive,
16211,"sheru aba biralo hune vo, meow 🐈😺",Abusive,
31133,nikkamma dauba sarkar thu thu aachi kha congress sarkar and karyakarta 😭,Abusive,
21956,priti lai javari vaye pani golf thock,Abusive,
20213,banlor hoina bombay ja moj hunxa yrr valu,Abusive,
16468,i am really sad for sandesh.. i wish seema was respectful towards the stage and us audience.. dance jati ramro gare pani k garne discipline pani importante cha.,Non Abusive,
10147,"yo neupane lai,,, chappal le pitnu ta jatha lai arehh yar yesto pani news anchor huncha chiya uneducated news anchor...yelai chan kina yti uper uthako chiya...2rupiye ko anchor saleen neupane",Abusive,
22266,budi maresi k bachchas kasto lagyo ta ni marchas if u murder her ? ever u do u get dat back,Abusive,
22096,mc police khate chor ho sab ko sab 😠,Abusive,
15153,no not again sanjeev pandey,Non Abusive,
22004,"j cha pahilakai thik cha : durga prasai. whoever come in nepal , no one can change because this is nepal which is 100 yrs back now again..",Non Abusive,
18972,tera bau van sala midiya,Abusive,
13171,kabica lai jetinash bhansa ma killy dance star hardaina 😡🤬😠😡😠😈👿↙️↙️↙️,Non Abusive,
26605,laxman chor des chote 🐕🐅,Abusive,
13913,90 .% time ta saugat gaire mattra boleko cha,Non Abusive,
13267,was she faithfull to madan bhandari??not sure.,Non Abusive,
23438,"gokule matrai hoina, ncell vrashtari, whitbody vrashtari 33kg holds vrashtari hamilai pani nange jhar parera jail kochnu parchha, abo nepali janatale chodne chhainan",Abusive,
31644,k question sodheko rajendra g.. suru ko 10 min ali milena level tapai ko question ko,Non Abusive,
27956,malaii man naparne one of few actor ayushman desraj joshi 😂,Non Abusive,
31506,indian embassy bata kati talab khanxas,Non Abusive,
10870,haha drugs adick lai k k garna maan lagxa,Abusive,
24962,khate patrakar daddy mummy ko agadi kt vaya k garxas kati maya garxas vanera socdxas aru kura sodhna audhaina,Abusive,
17306,yo kt ko ni ronit sanga living together garne bichar x ki k ho xutepaxi? 🤣,Abusive,
31398,paagal haru. raakhni lai falne. falne lai raakhne. kosle banayo cokh.nonono coach 🤬,Abusive,
14008,yo video pal ko lagi matra ho like natra i jst hate swostima dnt know why sorry swostima dd,Non Abusive,
11805,makure pagal yo birode,Abusive,
19902,kahi xina raix knolowge ta khi,Non Abusive,
18177,satish lai partner rmro diyena justice vayena,Non Abusive,
19859,sala naya ✈️ chaio aba,Abusive,
20138,"timro baule hamro purkha nepal bata ako ho bhanyo ani bau ra bainile nepali ma kura garera interview diyera gaye, so please don’t make drama pawan bhai.",Abusive,
18352,flop acting dekhai raxa sala,Abusive,
18826,yosto pagal sanga pani quasition garna,Abusive,
20657,chhor bhatta dherai nabola.,Abusive,
22287,hamro desma din parti din kinw yesto aey sarkar fasi ko sahaye deyna ho sarkar k herew baseko xa yesto hudapni 👈,Abusive,
12566,thukka yesto pani mantri.,Abusive,
10574,unique pm ahaha art vako pm ho 😂,Abusive,
14756,asto kt sanga basnu hunna.keta sanga milera marxa,Abusive,
10240,kina aahile 21 century ma pani kina yesto,Non Abusive,
21574,timi mula comedian haru orginal khada layana yo sabai lai 22kar garnu parcha hami budest haru lya jya bhuda drem jya nepal,Abusive,
24120,dhamal uncal pahila aafno budilai samhala kuro n bujhi kuro kata kata lanx hun t 8 class padeko ho dimag ali xaina,Abusive,
26873,jasmine did you saw real movies of sujit shah and shamisha movies. jasmine rip,Abusive,
27673,he is just a clawn as said by r chand 🤔,Abusive,
14232,fuck up jholey media,Abusive,
31953,sarkar sorita gari lai trunta samsadh bayan htaiyos,Non Abusive,
20160,prajjwal dherai vayo teti tw talaii ni thaha xa hawa question garne,Non Abusive,
25197,panimuni gayrwpni nw xodne vy nirmala punt ko hattyralai kinw xodekotw ....🤬,Abusive,
11271,atleast show khattam ta hunu dinu nii,Non Abusive,
19005,yesari bina max yubraj hinera ta corona lagne dar hunxa ta raja afu poni save janata lai poni save rakhnu parxa ni,Non Abusive,
17673,cia agent kukur bk mcc dalal,Abusive,
18432,nepali police chor ho,Abusive,
13564,tera nepal ko kanoon condom muji buro,Abusive,
17777,prime time hd lai unsubcribe garum hai 🙏,Non Abusive,
12545,ani xiss lai no chai 10/ 10 standing aveation chai khoe natakai ho,Abusive,
23614,good aba aslei india tira khadnu parxa,Abusive,
22116,kasto critics hola kasto le criticize garyo hola 😂🤣😂🤣😂,Non Abusive,
15048,subscribe chai gardina la... business hmmmm,Non Abusive,
16889,ur really a joker patrakar,Abusive,
16520,dog nishedh chand teslai super dancer bata pani hataunu parxa,Abusive,
16057,kina hernu feri 🤦🏼‍♀️social work kahi garnu xaina,Non Abusive,
15491,thuka sala nepali sarkar,Abusive,
14072,talai kina naaoosh joro khatey..,Abusive,
14770,don't speak tumach bagam fusi dirty poltice? speak about melamchi faster and beautiful kathmandu like singapore urop japan and china,Abusive,
14693,yo kti lai ta rip vanxau ma and valu nai ho yo saline,Abusive,
10658,hana yo kushalta vanne chai kun star ho hai rw bafre khub judge garxa aafu stage ma gayara dance garnu nii aachamma xa yrr 😏,Non Abusive,
31676,lok thapaliya sarkar murdaaa baaaad fuck up lok sarkaaar,Abusive,
23047,kasare garyo asto jpt please support the movie asto ngaraunu nepali vasa bujhni garaunu sblai nepali vasa international garaunu na t,Non Abusive,
23019,kin purano kura garnu pareko hola. jibamsathima wellcome vane vaigoni secound time re,Non Abusive,
22304,yo jodi sure xhutne wala cha signals are seen in this interview,Non Abusive,
20506,tero bau vanna khub mata,Abusive,
18567,😃 103 matrai aayaxaaa 😁 morals budaaa,Abusive,
27810,yo safal vanni kai tha xaina,Non Abusive,
20018,rupak chaudhary ta ghatiya niskyo……,Abusive,
13518,yo chi radinai rexa 😡🤡🤬,Abusive,
14238,arko manxe window 🪟 bata aako raixa hahahahah.kane mastar le ta jo le ne edit garxa ani edit ma arko manxe halna melxa pagal mantri ..,Abusive,
13231,jaad khayer fhutu x yo manxe,Abusive,
14347,ma pani urgent passport ko lagi ktm dop aako thiye but online accept garena. bichauliya le date lin ko lagi 3000 form vareko lagxa re k garnu nepal lutatantra nai ho,Non Abusive,
27900,dude yo junchai frame payeou ni besi kapil ma uhrnu hudaina ur a piece of shit who even don't know the value if family aalik pachi tha paaouchaou jaba aafu baou hunchaou and american lifestyle ko kura ra freedom kura gardai chaou first try to be a good son tya bata talk about ur freedom,Abusive,
21319,kasam mero interview lintho vhne yo ashish bista lae yesto jawaf dinthe ni,Non Abusive,
31456,dahal uncle yrrr khaali geet gauna laaidine yrr 😂 geetai sunna man vaye ta concert tira majale diraa hunxa ta yrr ayush dai le kina interview maa bolaunu kya 😆😂,Non Abusive,
13641,obviously regmi is a joker man lmao 😂,Abusive,
12219,first ma movie herna prxa jasto lageako theo yar... yeati dherai controversy dekhearw tw abo movie herna najau jasto lageo ... avatar herna janxu baru .,Non Abusive,
22462,"desh ko gaddar. rapist, murder lai shelter di grandfather. indian ka kuta!",Abusive,
17220,suddo lai nih yubaa neta 🙈 oh god kati hasnu 🤣,Abusive,
31019,sayad badal laayera plane blindly uudna baadhyee bhaayo and this happened . why are this old planes still operated!!!,Non Abusive,
26111,talmel vaneko verstachar garne afno manxe rakhna li time sareko,Abusive,
20878,"twins brother li ta justa show ko vote n show li hit banaauna ahily sama raakhyko raixa 😭 taivara seme final ma nikaalyo,huna ta winer hunxa vnyra pani holaa aru ly paisaa khuoora nikaalyko hina",Non Abusive,
11487,yo women too layer. sir ysalie jal lanu parcha ani vataievata laguonu parcha,Abusive,
18743,yo pagal jourlist sang k kura garnu,Abusive,
24870,bolnu na dine mula thau dheri nadhaunu dr sahb,Abusive,
12037,ydi raksi vand garnni ho vany saby vand garnu parx natra ysto bejok garnu hunn,Abusive,
19448,bejati gharbeti sarkar lai tax tirekaxankixinan xanbin garnuparx,Abusive,
17692,xii yini nepali haru vayara ni aafno nepali xori lae nai yesto galat comment garne rip all of u jasle galat comment garne?,Abusive,
31863,esto hospital laii sill gardinu parx,Abusive,
10821,mug title change gar khate,Abusive,
20592,"yesto pako neta gaurav mandal ko kura yesto ghatiya xa party na ramro hoina party ka member haru dalal , crupt,bhaduwa vayera aba sabai party haru ko safaya garnu parxa",Abusive,
14219,"ae patrakare ekohoro vedo pann nadekhana, driver is right.he needs to be protected too. paila afu bachau ani arulai bachaune ho.",Non Abusive,
12157,swastika pradhanang murdabadh back of india rip rip,Abusive,
27582,yo dande kata bata aayo fere 😂,Non Abusive,
26587,mero sabi vanxa ma chikney,Abusive,
11302,subedi des drohi sala.,Abusive,
18720,popularity chaiako ho kina.arulay chai ysto headline. rakhako xina tara kina canada nepal lai chai thari thari head line hallna paryo,Non Abusive,
13380,kati bolxas hoit 😡,Abusive,
13046,ali attitude dekhako hoki miss ki mrs ?,Abusive,
18456,sala papi kukurle yo vailai tesko ghar bechera vayani upachar garnu parxa 🥺😭💞🙏🥺😳,Abusive,
12721,no mcc go back america mcc kharej,Non Abusive,
22657,ta khata ko headline man parya nw support for balan 😍,Non Abusive,
27632,yesto saamaj bigarnay lady lai na raakhnu xii,Abusive,
15064,ujjwal chor chor chor aba rahadaina desh ma,Abusive,
23315,not watching this show just cause of pramita rana muderer,Abusive,
